urn:cts:latinLit:phi0893.phi0011.6.8	nec saevam Pelopis domum
urn:cts:latinLit:phi0893.phi0011.6.9	conamur, tenues grandia, dum pudor
urn:cts:latinLit:phi0893.phi0011.6.10	inbellisque lyrae Musa potens vetat
urn:cts:latinLit:phi0893.phi0011.6.11	laudes egregii Caesaris et tuas
urn:cts:latinLit:phi0893.phi0011.6.12	culpa deterere ingeni.
urn:cts:latinLit:phi0893.phi0011.6.13	quis Martem tunica tectum adamantina
urn:cts:latinLit:phi0893.phi0011.6.14	digne scripserit aut pulvere Troico
urn:cts:latinLit:phi0893.phi0011.6.15	nigrum Merionen aut ope Palladis
urn:cts:latinLit:phi0893.phi0011.6.16	Tydiden superis parem?
urn:cts:latinLit:phi0893.phi0011.6.17	nos convivia, nos proelia virginum
urn:cts:latinLit:phi0893.phi0011.6.18	sectis in iuvenes unguibus acrium
urn:cts:latinLit:phi0893.phi0011.6.19	cantamus, vacui sive quid urimur,
urn:cts:latinLit:phi0893.phi0011.6.20	non praeter solitum leves.

urn:cts:latinLit:phi0893.phi0011.7.1	Laudabunt alii claram Rhodon aut Mytilenen
urn:cts:latinLit:phi0893.phi0011.7.2	aut Epheson bimarisve Corinthi
urn:cts:latinLit:phi0893.phi0011.7.3	moenia vel Baccho Thebas vel Apolline Delphos
urn:cts:latinLit:phi0893.phi0011.7.4	insignis aut Thessala Tempe;
urn:cts:latinLit:phi0893.phi0011.7.5	sunt quibus unum opus est intactae Palladis urbem
urn:cts:latinLit:phi0893.phi0011.7.6	carmine perpetuo celebrare et
urn:cts:latinLit:phi0893.phi0011.7.7	undique decerptam fronti praeponere olivam;
urn:cts:latinLit:phi0893.phi0011.7.8	plurimus in Iunonis honorem
urn:cts:latinLit:phi0893.phi0011.7.9	aptum dicet equis Argos ditisque Mycenas:
urn:cts:latinLit:phi0893.phi0011.7.10	me nec tam patiens Lacedaemon
urn:cts:latinLit:phi0893.phi0011.7.11	nec tam Larisae percussit campus opimae
urn:cts:latinLit:phi0893.phi0011.7.12	quam domus Albuneae resonantis
urn:cts:latinLit:phi0893.phi0011.7.13	et praeceps Anio ac Tiburni lucus et uda
urn:cts:latinLit:phi0893.phi0011.7.14	mobilibus pomaria rivis.
urn:cts:latinLit:phi0893.phi0011.7.15	albus ut obscuro deterget nubila caelo
urn:cts:latinLit:phi0893.phi0011.7.16	saepe Notus neque parturit imbris
urn:cts:latinLit:phi0893.phi0011.7.17	perpetuos, sic tu sapiens finire memento
urn:cts:latinLit:phi0893.phi0011.7.18	tristitiam vitaeque labores
urn:cts:latinLit:phi0893.phi0011.7.19	molli, Plance, mero, seu te fulgentia signis
urn:cts:latinLit:phi0893.phi0011.7.20	castra tenent seu densa tenebit
urn:cts:latinLit:phi0893.phi0011.7.21	Tiburis umbra tui. Teucer Salamina patremque
urn:cts:latinLit:phi0893.phi0011.7.22	cum fugeret, tamen uda Lyaeo
urn:cts:latinLit:phi0893.phi0011.7.23	tempora populea fertur vinxisse corona
urn:cts:latinLit:phi0893.phi0011.7.24	sic tristis adfatus amicos:
urn:cts:latinLit:phi0893.phi0011.7.25	“quo nos cumque feret melior fortuna parente,
urn:cts:latinLit:phi0893.phi0011.7.26	ibimus—o socii comitesque,
urn:cts:latinLit:phi0893.phi0011.7.27	nil desperandum Teucro duce et auspice Teucro:
urn:cts:latinLit:phi0893.phi0011.7.28	certus enim promisit Apollo
urn:cts:latinLit:phi0893.phi0011.7.29	ambiguam tellure nova Salamina futuram.
urn:cts:latinLit:phi0893.phi0011.7.30	o fortes peioraque passi
urn:cts:latinLit:phi0893.phi0011.7.31	mecum saepe viri, nunc vino pellite curas;
urn:cts:latinLit:phi0893.phi0011.7.32	cras ingens iterabimus aequor.”

urn:cts:latinLit:phi0893.phi0011.8.1	Lydia, dic per omnis
urn:cts:latinLit:phi0893.phi0011.8.2	te deos oro, Sybarin cur properes amando
urn:cts:latinLit:phi0893.phi0011.8.3	perdere, cur apricum
urn:cts:latinLit:phi0893.phi0011.8.4	oderit campum patiens pulveris atque solis,
urn:cts:latinLit:phi0893.phi0011.8.5	cur neque militaris
urn:cts:latinLit:phi0893.phi0011.8.6	inter aequalis equitet, Gallica nec lupatis
urn:cts:latinLit:phi0893.phi0011.8.7	temperet ora frenis?
urn:cts:latinLit:phi0893.phi0011.8.8	cur timet flavum Tiberim tangere? cur olivum
urn:cts:latinLit:phi0893.phi0011.8.9	sanguine viperino
urn:cts:latinLit:phi0893.phi0011.8.10	cautius vitat neque iam livida gestat armis
urn:cts:latinLit:phi0893.phi0011.8.11	bracchia saepe disco,
urn:cts:latinLit:phi0893.phi0011.8.12	saepe trans finem iaculo nobilis expedito?
urn:cts:latinLit:phi0893.phi0011.8.13	quid latet, ut marinae
urn:cts:latinLit:phi0893.phi0011.8.14	filium dicunt Thetidis sub lacrimosa Troiae
urn:cts:latinLit:phi0893.phi0011.8.15	funera, ne virilis
urn:cts:latinLit:phi0893.phi0011.8.16	cultus in caedem et Lycias proriperet catervas?

urn:cts:latinLit:phi0893.phi0011.9.1	Vides ut alta stet nive candidum
urn:cts:latinLit:phi0893.phi0011.9.2	Soracte nec iam sustineant onus
urn:cts:latinLit:phi0893.phi0011.9.3	silvae laborantes geluque
urn:cts:latinLit:phi0893.phi0011.9.4	flumina constiterint acuto?
urn:cts:latinLit:phi0893.phi0011.9.5	dissolve frigus ligna super foco
urn:cts:latinLit:phi0893.phi0011.9.6	large reponens atque benignius
urn:cts:latinLit:phi0893.phi0011.9.7	deprome quadrimum Sabina,
urn:cts:latinLit:phi0893.phi0011.9.8	o Thaliarche, merum diota.
urn:cts:latinLit:phi0893.phi0011.9.9	permitte divis cetera, qui simul
urn:cts:latinLit:phi0893.phi0011.9.10	stravere ventos aequore fervido
urn:cts:latinLit:phi0893.phi0011.9.11	deproeliantis, nec cupressi
urn:cts:latinLit:phi0893.phi0011.9.12	nec veteres agitantur orni.
urn:cts:latinLit:phi0893.phi0011.9.13	quid sit futurum cras, fuge quaerere et
urn:cts:latinLit:phi0893.phi0011.9.14	quem Fors dierum cumque dabit, lucro
urn:cts:latinLit:phi0893.phi0011.9.15	adpone nec dulcis amores
urn:cts:latinLit:phi0893.phi0011.9.16	sperne puer neque tu choreas,
urn:cts:latinLit:phi0893.phi0011.9.17	donec virenti canities abest
urn:cts:latinLit:phi0893.phi0011.9.18	morosa. nunc et campus et areae
urn:cts:latinLit:phi0893.phi0011.9.19	lenesque sub noctem susurri
urn:cts:latinLit:phi0893.phi0011.9.20	conposita repetantur hora,
urn:cts:latinLit:phi0893.phi0011.9.21	nunc et latentis proditor intumo
urn:cts:latinLit:phi0893.phi0011.9.22	gratus puellae risus ab angulo
urn:cts:latinLit:phi0893.phi0011.9.23	pignusque dereptum lacertis
urn:cts:latinLit:phi0893.phi0011.9.24	aut digito male pertinaci.

urn:cts:latinLit:phi0893.phi0011.10.1	Mercuri facunde nepos Atlantis,
urn:cts:latinLit:phi0893.phi0011.10.2	qui feros cultus hominum recentum
