URN,Author,Work
,Propertius,Elegies
,Pseudo-Plutarch,De Musica
,Pseudo-Plutarch,Placita Philosophorum
,Pseudo-Quintilian,Major Declamations
,Q. Cicero,Essay on Running for Consul
urn:cts:latinLit:phi1002.phi001:,Quintilian,Institutio Oratoria
urn:cts:omar:phi0631.phi001:,Sallust,Catilina
urn:cts:omar:phi0631.phi002:,Sallust,Iugurtha
urn:cts:latinLit:phi2331.phi001:,Scriptores Historiae Augustae,Historia Augusta
urn:cts:latinLit:phi1017.phi015:,Seneca,Ad Lucilium Epistulae Morales
urn:cts:latinLit:phi1017.phi007:,Seneca,Agamemnon
urn:cts:latinLit:phi1017.phi011:,Seneca,Apocolocyntosis
urn:cts:latinLit:phi1014.phi001:,Seneca the Elder,Controversiae
urn:cts:latinLit:phi1017.phi013:,Seneca,De Beneficiis
urn:cts:latinLit:stoa0255.stoa004:,Seneca,De Brevitate Vitae
urn:cts:latinLit:phi1017.phi014:,Seneca,De Clementia
urn:cts:latinLit:stoa0255.stoa006:,Seneca,De Consolatione ad Helvium
urn:cts:latinLit:stoa0255.stoa007:,Seneca,De Consolatione ad Marciam
urn:cts:latinLit:stoa0255.stoa008:,Seneca,De Consolatione ad Polybium
urn:cts:latinLit:stoa0255.stoa009:,Seneca,De Constantia
urn:cts:latinLit:stoa0255.stoa010:,Seneca,De Ira
urn:cts:latinLit:stoa0255.stoa011:,Seneca,De Otio
urn:cts:latinLit:stoa0255.stoa012:,Seneca,De Providentia
urn:cts:latinLit:stoa0255.stoa013:,Seneca,De Tranquillitate Animi
urn:cts:latinLit:stoa0255.stoa014:,Seneca,De Vita Beata
urn:cts:latinLit:phi1014.phi002:,Seneca the Elder,Excerpta Controversiae
urn:cts:latinLit:phi1014.phi004:,Seneca the Elder,Fragmenta
urn:cts:latinLit:phi1017.phi001:,Seneca,Hercules Furens
urn:cts:latinLit:phi1017.phi009:,Seneca,Hercules Oetaeus
urn:cts:latinLit:phi1017.phi004:,Seneca,Medea
urn:cts:latinLit:phi1017.phi010:,Seneca,Octavia
urn:cts:latinLit:phi1017.phi006:,Seneca,Oedipus
urn:cts:latinLit:phi1017.phi005:,Seneca,Phaedra
urn:cts:latinLit:phi1017.phi003:,Seneca,Phoenissae
urn:cts:latinLit:phi1014.phi003:,Seneca the Elder,Suasoriae
urn:cts:latinLit:phi1017.phi008:,Seneca,Thyestes
urn:cts:latinLit:phi1017.phi002:,Seneca,Troades
,Servius Honoratus,Commentary on the Aeneid of Vergil
,Servius Honoratus,Commentary on the Eclogues of Vergil
,Servius Honoratus,Commentary on the Georgics of Vergil
,Shakespeare,A Midsummer Night's Dream
,Shakespeare,Hamlet
,Shakespeare,Richard III
,Sophocles,Ajax
,Sophocles,Antigone
,Sophocles,Electra
