Author	Work	e-Source	Print Source	Added by
Apollodorus	Library	Perseus	Apollodorus. Apollodorus, The Library, with an English Translation by Sir James George Frazer, F.B.A., F.R.S. in 2 Volumes. Cambridge, MA, Harvard University Press; London, William Heinemann Ltd. 1921.	Katherine Roache
Appian	The Civil Wars	Perseus	Appian. The Civil Wars. L. Mendelssohn. Leipzig. Teubner. 1879.	Katherine Roache
Appolonius	Argonautica	Perseus	George W. Mooney, Argonautica. London: Longmans, Green, 1912.	Chris Forstall
Apuleius	Florida	Perseus	Apuleius. Apulei Platonici Madaurensis Florida. Rudolf Helm. Lipsiae: Teubner, 1921. 1921.	Katherine Roache
Apuleius	Metamorphoses	Perseus	Apuleius. The Golden Ass, being the Metamorphoses of Lucius Apuleius. Stephen Gaselee. London: William Heinemann; New York: G.P. Putnam's Sons. 1915.	Katherine Roache
Apulieus	Apologia	Perseus	Apuleius.Apulei Platonici Madaurensis, Pro se de magia liber (Apologia).Rudolf Helm. Lipsiae: B.G. Teubneri. 1912.	Katherine Roache
Aristophanes	Acharnians	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 2. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Birds	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 2. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Clouds	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 2. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Ecclesiazusae	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 2. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Frogs	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 2. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Knights	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 1. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Lysistrata	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 2. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Peace	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 1. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Plutus	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 2. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Thesmaphoriazusae	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 2. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristophanes	Wasps	Perseus	F.W. Hall and W.M. Geldart, Aristophanes Comoediae, ed. F.W. Hall and W.M. Geldart, vol. 1. Oxford: Clarendon Press, Oxford, 1907.	Anna Glenn
Aristotle	Constitution	Perseus	Athenaion Politeia, ed. Kenyon. Oxford. 1920.	Rudra Chakraborty
Aristotle	Economics	Perseus	Aristotle. Aristotle in 23 Volumes, Vol. 18. Harvard University Press, Cambridge, Mass., London. 1935.	Rudra Chakraborty
Aristotle	Eudemian Ethics	Perseus	Aristotle. Aristotle's Eudemian Ethics, ed. F. Susemihl. Leipzig: Teubner. 1884.	Rudra Chakraborty
Aristotle	Metaphysics	Perseus	Aristotle. Aristotle's Metaphysics, ed. W.D. Ross. Oxford: Clarendon Press. 1924.	Rudra Chakraborty
Aristotle	Nicomachean Ethics	Perseus	ed. J. Bywater, Aristotle's Ethica Nicomachea. Oxford, Clarendon Press. 1894.	Rudra Chakraborty
Aristotle	Poetics	Perseus	Aristotle. ed. R. Kassel, Aristotle's Ars Poetica. Oxford, Clarendon Press. 1966.	Rudra Chakraborty
Aristotle	Politics	Perseus	Aristotle. ed. W. D. Ross, Aristotle's Politica. Oxford, Clarendon Press. 1957.	Rudra Chakraborty
Aristotle	Rhetoric	Perseus	Ars Rhetorica. Aristotle. W. D. Ross. Oxford. Clarendon Press. 1959.	Rudra Chakraborty
Aristotle	Virtues and Vices	Perseus	ed. I. Bekker, Aristotle's Opera, vol. 2. Berlin, Reimer. 1831.	Rudra Chakraborty
Athenaeus	The Deipnosophists	Perseus	Charles Burton Gulick, The Deipnosophists. Cambridge, MA: Harvard University Press, 1927.	Emilie Redwood
Augustine	Epistulae. Selections	Perseus	Select Letters. Augustine, Saint. James Houston Baxter. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1930.	Katherine Roache
Ausonius	Ausonii Burdigalensis Vasatis Gratiarum Actio Ad Grati Angratianum Imperatorem Pro Consulatu	Perseus	Ausonius. Works. Ausonius, Vol 2. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1921.	Katherine Roache
Ausonius	Ausonii de XII Caesaribus per Suetonium Tranquillum scriptis	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
